,Published,ThumbnailUrl,ViewCount,VideoId
83,2022-03-28T10:00:00Z,https://i.ytimg.com/vi/aO-7L-_kvZk/default.jpg,1350399,aO-7L-_kvZk
84,2022-03-29T10:00:00Z,https://i.ytimg.com/vi/aKKZpCOLYic/default.jpg,455719,aKKZpCOLYic
85,2022-03-30T10:00:25Z,https://i.ytimg.com/vi/QhfuV1qxnuA/default.jpg,468045,QhfuV1qxnuA
86,2022-03-31T10:00:14Z,https://i.ytimg.com/vi/cgUPKEgr_eE/default.jpg,664556,cgUPKEgr_eE
87,2022-04-01T10:00:10Z,https://i.ytimg.com/vi/nACIoJIwTUg/default.jpg,566730,nACIoJIwTUg
88,2022-04-02T10:00:09Z,https://i.ytimg.com/vi/JF9ZmlcRJaQ/default.jpg,410987,JF9ZmlcRJaQ
89,2022-04-03T10:00:07Z,https://i.ytimg.com/vi/iT29drEfolI/default.jpg,1530426,iT29drEfolI
90,2022-04-04T10:00:36Z,https://i.ytimg.com/vi/wIrnA4tTGNU/default.jpg,658689,wIrnA4tTGNU
91,2022-04-05T10:00:07Z,https://i.ytimg.com/vi/FV_Rj5Q0LVw/default.jpg,1399751,FV_Rj5Q0LVw
92,2022-04-06T10:00:23Z,https://i.ytimg.com/vi/oQHSnAXDFOk/default.jpg,801677,oQHSnAXDFOk
93,2022-04-07T10:00:21Z,https://i.ytimg.com/vi/J8TonSFgDk4/default.jpg,1146639,J8TonSFgDk4
94,2022-04-08T10:00:08Z,https://i.ytimg.com/vi/FkCgVt3DSC0/default.jpg,1612961,FkCgVt3DSC0
95,2022-04-09T10:00:27Z,https://i.ytimg.com/vi/n8Y6wyBK_OI/default.jpg,672938,n8Y6wyBK_OI
96,2022-04-10T10:00:11Z,https://i.ytimg.com/vi/O6eNm5sPOsM/default.jpg,1620320,O6eNm5sPOsM
97,2022-04-11T10:00:15Z,https://i.ytimg.com/vi/TgK4D3Ctsyc/default.jpg,1177149,TgK4D3Ctsyc
